scenario,bound,cell,formula,comment
# To add a new result: fill in formula (LaTeX, single backslash) and comment ({refVarName} inserts a clickable reference link).
# Leave formula blank for open problems. Lines starting with # are ignored.
# scenario: zero_tv | tv_tv
# bound:    ub (upper bound) | lb (lower bound)
# cell:     ROW+COL  e.g. SAMPSAMP  FULLCOND  PAIRDUAL  etc.
#
# ── NON-TOLERANT  (closeness = 0,  farness = d_TV) ──────────────────────────────────────────────────────────────────────────────
zero_tv,ub,SAMPSAMP,"O\left(\frac{N^{2/3}}{\varepsilon^{8/3}}\right)","Follows from Theorem 1 of [{batu2013testing}]."
zero_tv,ub,DUALSAMP,"O\left(\frac{N^{2/3}}{\varepsilon^{8/3}}\right)","Follows from SAMP vs SAMP upper bound."
zero_tv,ub,DUALDUAL,"O\left(\frac{1}{\varepsilon}\right)","Follows from [{canonne2014testing}]."
zero_tv,ub,PAIRSAMP,"O\left(\frac{N^{2/3}}{\varepsilon^{8/3}}\right)","Follows from SAMP vs SAMP upper bound."
zero_tv,ub,PAIRDUAL,"O\left(\frac{\log N}{\varepsilon^2}+\frac{\sqrt{\log N}}{\varepsilon^4}\right)","Follows from [{potescalable}]."
zero_tv,ub,PAIRPAIR,"O\left(\frac{\log^6{N}}{\varepsilon^{21}}\right)","Follows from [{canonne2015testing}]."
zero_tv,ub,SUBSAMP,"O\left(\frac{N^{2/3}}{\varepsilon^{8/3}}\right)","Follows from SAMP vs SAMP upper bound."
zero_tv,ub,SUBDUAL,"O\left(\frac{dN}{\varepsilon^{2}}\right)","Follows from [{adar2024improved}]."
zero_tv,ub,SUBPAIR,,Open problem.
zero_tv,ub,SUBSUB,"O\left(\frac{d^{3}N}{\varepsilon^{4}}\right)","Follows from [{kumar2023tolerant}]."
zero_tv,ub,CONDSAMP,"O\left(\frac{N^{2/3}}{\varepsilon^{8/3}}\right)","Follows from SAMP vs SAMP upper bound."
zero_tv,ub,CONDDUAL,"O\left(\frac{\log N}{\varepsilon^2}+\frac{\sqrt{\log N}}{\varepsilon^4}\right)","Follows from PAIRCOND vs DUAL."
zero_tv,ub,CONDPAIR,"O\left(\frac{\log^6{N}}{\varepsilon^{21}}\right)","Follows from PAIRCOND vs PAIRCOND."
zero_tv,ub,CONDSUB,"O\left(\frac{d^{3}N}{\varepsilon^{4}}\right)","Follows from SUBCOND vs SUBCOND."
zero_tv,ub,CONDCOND,"O\left(\frac{\log{\log{N}}}{\varepsilon^5}\right)","Follows from [{falahatgar2015faster}]."
zero_tv,ub,FULLSAMP,"O\left(\frac{\sqrt{N}}{\varepsilon^2}\right)","Follows from [{valiant2017automatic}]."
zero_tv,ub,FULLDUAL,"O\left(\frac{1}{\varepsilon}\right)","Follows from DUAL vs DUAL upper bound."
zero_tv,ub,FULLPAIR,"O\left(\frac{\sqrt{\log{N}}}{\varepsilon^2}\right)","Follows from [{nar2020cond}]."
zero_tv,ub,FULLSUB,"O\left(\frac{dN}{\varepsilon^{2}}\right)","Follows from [{adar2024improved}]."
zero_tv,ub,FULLCOND,"O\left(\frac{1}{\varepsilon^2}\right)","Follows from [{falahatgar2015faster}]."
#
zero_tv,lb,SAMPSAMP,"\Omega\left(\frac{N^{2/3}}{\varepsilon^{8/3}}\right)","Follows from Theorem 1 of [{batu2013testing}]."
zero_tv,lb,DUALSAMP,"\Omega\left(\frac{\sqrt{N}}{\varepsilon^2}\right)","Follows from FULL vs SAMP lower bound."
zero_tv,lb,DUALDUAL,"\Omega\left(\frac{1}{\varepsilon}\right)","Follows from FULL vs DUAL lower bound."
zero_tv,lb,PAIRSAMP,"\Omega\left(\frac{\sqrt{N}}{\varepsilon^2}\right)","Follows from FULL vs SAMP lower bound."
zero_tv,lb,PAIRDUAL,"\Omega\left(\frac{1}{\varepsilon}\right)","Follows from FULL vs DUAL lower bound."
zero_tv,lb,PAIRPAIR,"\Omega\left(\sqrt{\frac{\log{N}}{\log\log{N}}}\right)","Follows from FULL vs PAIRCOND lower bound."
zero_tv,lb,SUBSAMP,"\Omega\left(\frac{\sqrt{N}}{\varepsilon^2}\right)","Follows from FULL vs SAMP lower bound."
zero_tv,lb,SUBDUAL,"\Omega\left(\frac{1}{\varepsilon}\right)","Follows from FULL vs DUAL lower bound."
zero_tv,lb,SUBPAIR,"\Omega\left(\sqrt{\frac{\log{N}}{\log\log{N}}}\right)","Follows from FULL vs PAIRCOND lower bound."
zero_tv,lb,SUBSUB,"\Omega\left(\frac{\sqrt{d}}{\varepsilon^2},\frac{n^{3/4}}{\varepsilon}\right)","Follows from Theorem 10 of [{canonne2017testing}]."
zero_tv,lb,CONDSAMP,"\Omega\left(\frac{\sqrt{N}}{\varepsilon^2}\right)","Follows from FULL vs SAMP lower bound."
zero_tv,lb,CONDDUAL,"\Omega\left(\frac{1}{\varepsilon}\right)","Follows from FULL vs DUAL lower bound."
zero_tv,lb,CONDPAIR,"\Omega\left(\sqrt{\frac{\log{N}}{\log\log{N}}}\right)","Follows from FULL vs PAIRCOND lower bound."
zero_tv,lb,CONDSUB,"\Omega\left(\frac{\sqrt{d}}{\varepsilon^2}\right)","Follows from COND vs COND lower bound."
zero_tv,lb,CONDCOND,"\Omega\left(\log{\log{N}}\right)","Follows from [{chakraborty2024tight}]."
zero_tv,lb,FULLSAMP,"\Omega\left(\frac{\sqrt{N}}{\varepsilon^2}\right)","Follows from [{valiant2017automatic}]."
zero_tv,lb,FULLDUAL,"\Omega\left(\frac{1}{\varepsilon}\right)","Follows from [{canonne2014testing}]."
zero_tv,lb,FULLPAIR,"\Omega\left(\sqrt{\frac{\log{N}}{\log\log{N}}}\right)","Follows from [{canonne2015testing}]."
zero_tv,lb,FULLSUB,"\Omega\left(\frac{\sqrt{d}}{\varepsilon^2}\right)","Follows from Theorem 7 of [{canonne2017testing}]."
zero_tv,lb,FULLCOND,,Open problem.
#
# ── TOLERANT  (closeness = d_TV,  farness = d_TV) ───────────────────────────────────────────────────────────────────────────────
tv_tv,ub,SAMPSAMP,"O\left(\max\left\{\frac{\sqrt{N}}{\eta^2},\frac{N^{2/3}}{\eta^{4/3}}\right\} + N \cdot \frac{\varepsilon}{\eta^2}\right)",Follows from [{canonne2021price}].
tv_tv,ub,DUALSAMP,"O\left(\max\left\{\frac{\sqrt{N}}{\eta^2},\frac{N^{2/3}}{\eta^{4/3}}\right\} + N \cdot \frac{\varepsilon}{\eta^2}\right)",Follows from SAMP vs SAMP upper bound.
tv_tv,ub,DUALDUAL,"O\left(\frac{1}{(\eta - \varepsilon)^2}\right)","Follows from [{canonne2014testing}]."
tv_tv,ub,PAIRSAMP,"O\left(\max\left\{\frac{\sqrt{N}}{\eta^2},\frac{N^{2/3}}{\eta^{4/3}}\right\} + N \cdot \frac{\varepsilon}{\eta^2}\right)",Follows from SAMP vs SAMP upper bound.
tv_tv,ub,PAIRDUAL,"O\left(\frac{\log N}{\eta^2}+\frac{\sqrt{\log N}}{\eta^3(\eta-\varepsilon)}\right)","Follows from [{potescalable}]."
tv_tv,ub,PAIRPAIR,,Open problem.
